시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
뉴딜개발(주),"풍림산업(주),",평택 청북지구 풍림아이원 아파트,07,0750,경기도,경기 평택시,"최저 -2 층 ~ 최고 15층, 5동",일반분양,232,232,0,0,6499130,20111221,
(주)도브르하우징,"(주)서희건설,",양주 서희스타힐스 2단지 (양주 덕정 서희스타힐스 2단지),07,0782,경기도,경기 양주시,"최저 21 층 ~ 최고 21층, 11동",일반분양,821,821,0,0,7955199,20111216,20120104
(주)도브르하우징,"(주)서희건설,",양주 덕정 서희스타힐스1단지,07,0782,경기도,경기 양주시,"최저 18 층 ~ 최고 18층, 4동",일반분양,207,207,0,0,7967666,20111216,20120104
(주)무궁화신탁,"현대건설(주),",남양주 퇴계원 힐스테이트,07,0772,경기도,경기 남양주시,"최저 12 층 ~ 최고 22층, 21동",일반분양,1076,1076,0,0,10967228,20111201,
한국자산신탁(주),"두산중공업(주),",용인행정타운 두산위브2단지  (용인행정타운 A2블럭),07,0749,경기도,경기 용인시,"최저 -2 층 ~ 최고 20층, 9동",일반분양,624,624,0,0,11794718,20110406,20110315
한국자산신탁(주),"극동건설(주),",파주당동 극동스타클래스아파트,07,0713,경기도,경기 파주시,"최저 15 층 ~ 최고 22층, 14동",일반분양,1006,1006,0,0,8599939,,20140701
성일종합건설(주),"성일건설(주),",여주 우리미파크 타운하우스,07,0769,경기도,경기 여주시,"최저 -2 층 ~ 최고 4층, 5동",일반분양,68,68,0,0,6891739,20111206,20111206
(주)우재홀딩스,"지안스건설(주),",이안 지안스 청평,07,0777,경기도,경기 가평군,"최저 -2 층 ~ 최고 18층, 4동",일반분양,243,243,0,0,6974243,20160226,20160302
에이치디씨현대산업개발(주),"에이치디씨현대산업개발(주),",약대주공아파트 주택재건축정비사업,07,0720,경기도,경기 부천시 원미구,"최저 10 층 ~ 최고 25층, 23동",재건축,1613,425,1038,150,15421586,20111006,
대한토지신탁(주),"(주)대우건설,",서수원레이크 푸르지오 2단지(2블럭),07,0741,경기도,경기 수원시 권선구,"최저 -2 층 ~ 최고 30층, 8동",일반분양,814,797,0,0,8180471,20110929,
대한토지신탁(주),"(주)대우건설,",서수원레이크 푸르지오 1단지(1블럭),07,0741,경기도,경기 수원시 권선구,"최저 -2 층 ~ 최고 29층, 5동",일반분양,579,569,0,0,8220711,20111230,
(주)호반산업,"(주)호반건설,",광교 A18블럭 호반베르디움 아파트,07,0743,경기도,경기 수원시 영통구,"최저 25 층 ~ 최고 31층, 10동",일반분양,1342,1330,0,0,11806705,20120104,
(주)시티해양건설,"(주)시티종합건설,",김포한강신도시 중흥S-클래스,07,0715,경기도,경기 김포시,"최저 15 층 ~ 최고 26층, 15동",임대분양,1027,0,0,1007,9061887,20091130,20091216
